Residence Country,Occupation,Occupation_Text,Internet_Usage_Freq,Internet_Quality,Internet_Usage_Purpose,Internet_Usage_Purpose_Text,Internet_Access_Job_Opportunities,Online_Networking,Internet_Use_Entrepreneurship,Job_Dependence_Internet,Internet_Job_Search,Job_Finding_Internet_Value,Online_Banking,Internet_Reliance_Finance
Netherlands,Employed full-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Moderately,Occasionally,No,Very essential,Yes,Very important,Yes,Rarely rely on it
Belgium,Prefer not to say,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps)",,,Never,Yes,Not essential,No,,Yes,Rarely rely on it
Poland,Employed full-time,,Daily,Excellent,Using internet as a part of your job,,Significantly,"Yes, regularly",Yes,I could not work without it,Yes,Extremely important,Yes,Heavily rely on it
Israel,Prefer not to say,,Daily,Good,"Social media or online communities,Communication (e.g., video calls, emails, messaging apps)",,Slightly,Never,No,Very essential,Yes,,,
Netherlands,Employed full-time,,Daily,Excellent,"Online banking or financial services,Communication (e.g., video calls, emails, messaging apps),Using internet as a part of your job",,Significantly,Occasionally,No,Very essential,Yes,Extremely important,Yes,Rely on it to some extent
Netherlands,Employed full-time,,Daily,Excellent,"Social media or online communities,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Using internet as a part of your job",,Significantly,Rarely,No,I could not work without it,Yes,Extremely important,Yes,Heavily rely on it
Netherlands,Employed full-time,,Daily,Excellent,"Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Significantly,"Yes, regularly",Yes,,,,,
Romania,Employed full-time,,Daily,Good,"Online banking or financial services,Communication (e.g., video calls, emails, messaging apps),Using internet as a part of your job",,Slightly,Occasionally,No,Somewhat essential,No,,Yes,Rely on it to some extent
Romania,Employed full-time,,Several times a week,Excellent,"Online banking or financial services,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Using internet as a part of your job",,Not at all,Rarely,No,Somewhat essential,Yes,Moderately important,Yes,Rely on it to some extent
France,Employed full-time,,Daily,Excellent,"Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Using internet as a part of your job,Searching or applying for jobs",,Significantly,Occasionally,No,Very essential,Yes,Very important,No,
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Searching or applying for jobs",,Significantly,Occasionally,Yes,Very essential,Yes,Extremely important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Slightly,Rarely,Yes,Very essential,Yes,Moderately important,Yes,Heavily rely on it
Netherlands,Student/Employed part-time,"Student, Employed part-time",Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Significantly,Occasionally,Yes,Not essential,Yes,Extremely important,Yes,Rely on it to some extent
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Significantly,Occasionally,No,Very essential,Yes,Very important,Yes,Heavily rely on it
Thailand,Employed full-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,"Yes, regularly",Yes,I could not work without it,Yes,Extremely important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare)",,Moderately,Never,No,Not essential,Yes,Extremely important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,Occasionally,Yes,Very essential,Yes,Very important,Yes,Heavily rely on it
Germany,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Using internet as a part of your job",,Significantly,Occasionally,No,Very essential,Yes,Extremely important,Yes,Rely on it to some extent
Poland,Student,,Daily,Good,"Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online)",,,Occasionally,Yes,Somewhat essential,Yes,Extremely important,Yes,Heavily rely on it
Latvia,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,Occasionally,Yes,I could not work without it,Yes,Extremely important,Yes,Rely on it to some extent
France,Student,,Daily,Good,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,Occasionally,Yes,Somewhat essential,Yes,Very important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Using internet as a part of your job",,Significantly,Occasionally,Yes,Very essential,Yes,Extremely important,Yes,Heavily rely on it
Romania,Employed part-time,,Daily,Good,"Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Significantly,"Yes, regularly",Yes,Very essential,Yes,Very important,Yes,Heavily rely on it
Canada,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,"Yes, regularly",No,Very essential,Yes,Extremely important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare)",,Significantly,Occasionally,No,Not essential,Yes,Extremely important,Yes,Heavily rely on it
Canada,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Moderately,Occasionally,No,Very essential,Yes,Slightly important,Yes,Rely on it to some extent
Netherlands,Employed full-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Entertainment",,Moderately,Rarely,No,I could not work without it,Yes,Extremely important,Yes,Rely on it to some extent
Netherlands,Employed part-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Moderately,Occasionally,Yes,Somewhat essential,Yes,Very important,Yes,Rely on it to some extent
Netherlands,Employed full-time,,Daily,Good,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,Occasionally,Yes,I could not work without it,Yes,Extremely important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Moderately,Rarely,Yes,Somewhat essential,Yes,Very important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Significantly,"Yes, regularly",Yes,Very essential,Yes,Very important,Yes,Heavily rely on it
Argentina,Student,,Daily,Average,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Significantly,Occasionally,No,Very essential,Yes,Extremely important,Yes,Heavily rely on it
Canada,Student/Employed part-time,Student and part time,Daily,Very poor,"Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps)",,Not at all,Rarely,Yes,I could not work without it,Yes,Not at all important,Yes,Heavily rely on it
Canada,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Searching or applying for jobs",,Slightly,"Yes, regularly",Yes,I could not work without it,Yes,Moderately important,Yes,Rarely rely on it
Canada,Employed full-time,,Daily,Good,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare)",,Slightly,Rarely,Yes,Not essential,Yes,Moderately important,Yes,Rely on it to some extent
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,,Rarely,Yes,I could not work without it,No,,Yes,Heavily rely on it
Netherlands,Employed full-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Significantly,Rarely,Yes,Somewhat essential,Yes,Very important,Yes,Rely on it to some extent
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Significantly,Rarely,Yes,Not essential,Yes,Extremely important,Yes,Heavily rely on it
Italy,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Significantly,Occasionally,Yes,Very essential,Yes,Extremely important,Yes,Heavily rely on it
Canada,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Slightly,Occasionally,Yes,Not essential,Yes,Slightly important,Yes,Rely on it to some extent
United States,Student,,Daily,Good,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Significantly,Occasionally,Yes,Very essential,Yes,Extremely important,Yes,Heavily rely on it
Canada,Student,,Daily,Good,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job,Searching or applying for jobs",,Moderately,Never,No,Very essential,Yes,Moderately important,Yes,Rely on it to some extent
Canada,Student,,Daily,Good,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Searching or applying for jobs",,Moderately,Occasionally,Yes,Very essential,Yes,Moderately important,Yes,Heavily rely on it
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare)",,Significantly,Occasionally,Yes,Not essential,Yes,Very important,Yes,Heavily rely on it
Poland,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Significantly,Rarely,Yes,I could not work without it,Yes,Very important,Yes,Heavily rely on it
Netherlands,Student/Employed part-time,Employed part-time student ,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare)",,Slightly,Rarely,No,Not essential,Yes,Very important,Yes,Heavily rely on it
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Poland,Student,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Canada,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps)",,Significantly,Occasionally,Yes,I could not work without it,Yes,,,
Netherlands,Student,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Moderately,Occasionally,Yes,,,,,
Netherlands,Student,,Daily,,,,,,,,,,,
Germany,Employed full-time,,Occasionally,Good,"Online banking or financial services,Social media or online communities,Communication (e.g., video calls, emails, messaging apps)",,Slightly,Never,No,Somewhat essential,Yes,Slightly important,Yes,Heavily rely on it
Romania,Employed full-time,,Daily,Good,"Online banking or financial services,Social media or online communities,Communication (e.g., video calls, emails, messaging apps),Using internet as a part of your job",,Slightly,Occasionally,No,Somewhat essential,No,,Yes,Rely on it to some extent
Romania,Employed full-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Studying or online courses,Communication (e.g., video calls, emails, messaging apps),Using internet as a part of your job",,Significantly,"Yes, regularly",No,Very essential,Yes,Very important,Yes,Heavily rely on it
Romania,Employed full-time,,Daily,Excellent,"Online banking or financial services,Social media or online communities,Communication (e.g., video calls, emails, messaging apps),E-commerce (shopping or selling online),Accessing public services (e.g., government portals, healthcare),Using internet as a part of your job",,Moderately,Occasionally,Yes,Very essential,Yes,Very important,Yes,Rely on it to some extent
